antenna_id,Coordonnée_Antenne_X,Coordonnée_Antenne_Y
1,11.875,42.375
2,11.875,42.275
3,11.875,42.175
4,11.875,42.075
5,11.875,41.975
6,11.875,41.875
7,11.875,41.775
8,11.875,41.675
9,11.875,41.575
10,11.875,41.475
11,11.925,42.375
12,11.925,42.275
13,11.925,42.175
14,11.925,42.075
15,11.925,41.975
16,11.925,41.875
17,11.925,41.775
18,11.925,41.675
19,11.925,41.575
20,11.925,41.475
21,11.975,42.375
22,11.975,42.275
23,11.975,42.175
24,11.975,42.075
25,11.975,41.975
26,11.975,41.875
27,11.975,41.775
28,11.975,41.675
29,11.975,41.575
30,11.975,41.475
31,12.025,42.375
32,12.025,42.275
33,12.025,42.175
34,12.025,42.075
35,12.025,41.975
36,12.025,41.875
37,12.025,41.775
38,12.025,41.675
39,12.025,41.575
40,12.025,41.475
41,12.075,42.375
42,12.075,42.275
43,12.075,42.175
44,12.075,42.075
45,12.075,41.975
46,12.075,41.875
47,12.075,41.775
48,12.075,41.675
49,12.075,41.575
50,12.075,41.475
51,12.125,42.375
52,12.125,42.275
53,12.125,42.175
54,12.125,42.075
55,12.125,41.975
56,12.125,41.875
57,12.125,41.775
58,12.125,41.675
59,12.125,41.575
60,12.125,41.475
61,12.175,42.375
62,12.175,42.275
63,12.175,42.175
64,12.175,42.075
65,12.175,41.975
66,12.175,41.875
67,12.175,41.775
68,12.175,41.675
69,12.175,41.575
70,12.175,41.475
71,12.225,42.375
72,12.225,42.275
73,12.225,42.175
74,12.225,42.075
75,12.225,41.975
76,12.225,41.875
77,12.225,41.775
78,12.225,41.675
79,12.225,41.575
80,12.225,41.475
81,12.275,42.375
82,12.275,42.275
83,12.275,42.175
84,12.275,42.075
85,12.275,41.975
86,12.275,41.875
87,12.275,41.775
88,12.275,41.675
89,12.275,41.575
90,12.275,41.475
91,12.325,42.375
92,12.325,42.275
93,12.325,42.175
94,12.325,42.075
95,12.325,41.975
96,12.325,41.875
97,12.325,41.775
98,12.325,41.675
99,12.325,41.575
100,12.325,41.475
101,12.375,42.375
102,12.375,42.275
103,12.375,42.175
104,12.375,42.075
105,12.375,41.975
106,12.375,41.875
107,12.375,41.775
108,12.375,41.675
109,12.375,41.575
110,12.375,41.475
111,12.425,42.375
112,12.425,42.275
113,12.425,42.175
114,12.425,42.075
115,12.425,41.975
116,12.425,41.875
117,12.425,41.775
118,12.425,41.675
119,12.425,41.575
120,12.425,41.475
121,12.475,42.375
122,12.475,42.275
123,12.475,42.175
124,12.475,42.075
125,12.475,41.975
126,12.475,41.875
127,12.475,41.775
128,12.475,41.675
129,12.475,41.575
130,12.475,41.475
131,12.525,42.375
132,12.525,42.275
133,12.525,42.175
134,12.525,42.075
135,12.525,41.975
136,12.525,41.875
137,12.525,41.775
138,12.525,41.675
139,12.525,41.575
140,12.525,41.475
141,12.575,42.375
142,12.575,42.275
143,12.575,42.175
144,12.575,42.075
145,12.575,41.975
146,12.575,41.875
147,12.575,41.775
148,12.575,41.675
149,12.575,41.575
150,12.575,41.475
151,12.625,42.375
152,12.625,42.275
153,12.625,42.175
154,12.625,42.075
155,12.625,41.975
156,12.625,41.875
157,12.625,41.775
158,12.625,41.675
159,12.625,41.575
160,12.625,41.475
161,12.675,42.375
162,12.675,42.275
163,12.675,42.175
164,12.675,42.075
165,12.675,41.975
166,12.675,41.875
167,12.675,41.775
168,12.675,41.675
169,12.675,41.575
170,12.675,41.475
171,12.725,42.375
172,12.725,42.275
173,12.725,42.175
174,12.725,42.075
175,12.725,41.975
176,12.725,41.875
177,12.725,41.775
178,12.725,41.675
179,12.725,41.575
180,12.725,41.475
181,12.775,42.375
182,12.775,42.275
183,12.775,42.175
184,12.775,42.075
185,12.775,41.975
186,12.775,41.875
187,12.775,41.775
188,12.775,41.675
189,12.775,41.575
190,12.775,41.475
191,12.825,42.375
192,12.825,42.275
193,12.825,42.175
194,12.825,42.075
195,12.825,41.975
196,12.825,41.875
197,12.825,41.775
198,12.825,41.675
199,12.825,41.575
200,12.825,41.475
201,12.875,42.375
202,12.875,42.275
203,12.875,42.175
204,12.875,42.075
205,12.875,41.975
206,12.875,41.875
207,12.875,41.775
208,12.875,41.675
209,12.875,41.575
210,12.875,41.475
211,12.925,42.375
212,12.925,42.275
213,12.925,42.175
214,12.925,42.075
215,12.925,41.975
216,12.925,41.875
217,12.925,41.775
218,12.925,41.675
219,12.925,41.575
220,12.925,41.475
221,12.975,42.375
222,12.975,42.275
223,12.975,42.175
224,12.975,42.075
225,12.975,41.975
226,12.975,41.875
227,12.975,41.775
228,12.975,41.675
229,12.975,41.575
230,12.975,41.475
231,13.025,42.375
232,13.025,42.275
233,13.025,42.175
234,13.025,42.075
235,13.025,41.975
236,13.025,41.875
237,13.025,41.775
238,13.025,41.675
239,13.025,41.575
240,13.025,41.475
241,13.075,42.375
242,13.075,42.275
243,13.075,42.175
244,13.075,42.075
245,13.075,41.975
246,13.075,41.875
247,13.075,41.775
248,13.075,41.675
249,13.075,41.575
250,13.075,41.475
251,13.125,42.375
252,13.125,42.275
253,13.125,42.175
254,13.125,42.075
255,13.125,41.975
256,13.125,41.875
257,13.125,41.775
258,13.125,41.675
259,13.125,41.575
260,13.125,41.475
261,11.85,42.418
262,11.85,42.318
263,11.85,42.218
264,11.85,42.118
265,11.85,42.018
266,11.85,41.918
267,11.85,41.818
268,11.85,41.718
269,11.85,41.618
270,11.85,41.518
271,11.85,41.418
272,11.9,42.418
273,11.9,42.318
274,11.9,42.218
275,11.9,42.118
276,11.9,42.018
277,11.9,41.918
278,11.9,41.818
279,11.9,41.718
280,11.9,41.618
281,11.9,41.518
282,11.9,41.418
283,11.95,42.418
284,11.95,42.318
285,11.95,42.218
286,11.95,42.118
287,11.95,42.018
288,11.95,41.918
289,11.95,41.818
290,11.95,41.718
291,11.95,41.618
292,11.95,41.518
293,11.95,41.418
294,12.0,42.418
295,12.0,42.318
296,12.0,42.218
297,12.0,42.118
298,12.0,42.018
299,12.0,41.918
300,12.0,41.818
301,12.0,41.718
302,12.0,41.618
303,12.0,41.518
304,12.0,41.418
305,12.05,42.418
306,12.05,42.318
307,12.05,42.218
308,12.05,42.118
309,12.05,42.018
310,12.05,41.918
311,12.05,41.818
312,12.05,41.718
313,12.05,41.618
314,12.05,41.518
315,12.05,41.418
316,12.1,42.418
317,12.1,42.318
318,12.1,42.218
319,12.1,42.118
320,12.1,42.018
321,12.1,41.918
322,12.1,41.818
323,12.1,41.718
324,12.1,41.618
325,12.1,41.518
326,12.1,41.418
327,12.15,42.418
328,12.15,42.318
329,12.15,42.218
330,12.15,42.118
331,12.15,42.018
332,12.15,41.918
333,12.15,41.818
334,12.15,41.718
335,12.15,41.618
336,12.15,41.518
337,12.15,41.418
338,12.2,42.418
339,12.2,42.318
340,12.2,42.218
341,12.2,42.118
342,12.2,42.018
343,12.2,41.918
344,12.2,41.818
345,12.2,41.718
346,12.2,41.618
347,12.2,41.518
348,12.2,41.418
349,12.25,42.418
350,12.25,42.318
351,12.25,42.218
352,12.25,42.118
353,12.25,42.018
354,12.25,41.918
355,12.25,41.818
356,12.25,41.718
357,12.25,41.618
358,12.25,41.518
359,12.25,41.418
360,12.3,42.418
361,12.3,42.318
362,12.3,42.218
363,12.3,42.118
364,12.3,42.018
365,12.3,41.918
366,12.3,41.818
367,12.3,41.718
368,12.3,41.618
369,12.3,41.518
370,12.3,41.418
371,12.35,42.418
372,12.35,42.318
373,12.35,42.218
374,12.35,42.118
375,12.35,42.018
376,12.35,41.918
377,12.35,41.818
378,12.35,41.718
379,12.35,41.618
380,12.35,41.518
381,12.35,41.418
382,12.4,42.418
383,12.4,42.318
384,12.4,42.218
385,12.4,42.118
386,12.4,42.018
387,12.4,41.918
388,12.4,41.818
389,12.4,41.718
390,12.4,41.618
391,12.4,41.518
392,12.4,41.418
393,12.45,42.418
394,12.45,42.318
395,12.45,42.218
396,12.45,42.118
397,12.45,42.018
398,12.45,41.918
399,12.45,41.818
400,12.45,41.718
401,12.45,41.618
402,12.45,41.518
403,12.45,41.418
404,12.5,42.418
405,12.5,42.318
406,12.5,42.218
407,12.5,42.118
408,12.5,42.018
409,12.5,41.918
410,12.5,41.818
411,12.5,41.718
412,12.5,41.618
413,12.5,41.518
414,12.5,41.418
415,12.55,42.418
416,12.55,42.318
417,12.55,42.218
418,12.55,42.118
419,12.55,42.018
420,12.55,41.918
421,12.55,41.818
422,12.55,41.718
423,12.55,41.618
424,12.55,41.518
425,12.55,41.418
426,12.6,42.418
427,12.6,42.318
428,12.6,42.218
429,12.6,42.118
430,12.6,42.018
431,12.6,41.918
432,12.6,41.818
433,12.6,41.718
434,12.6,41.618
435,12.6,41.518
436,12.6,41.418
437,12.65,42.418
438,12.65,42.318
439,12.65,42.218
440,12.65,42.118
441,12.65,42.018
442,12.65,41.918
443,12.65,41.818
444,12.65,41.718
445,12.65,41.618
446,12.65,41.518
447,12.65,41.418
448,12.7,42.418
449,12.7,42.318
450,12.7,42.218
451,12.7,42.118
452,12.7,42.018
453,12.7,41.918
454,12.7,41.818
455,12.7,41.718
456,12.7,41.618
457,12.7,41.518
458,12.7,41.418
459,12.75,42.418
460,12.75,42.318
461,12.75,42.218
462,12.75,42.118
463,12.75,42.018
464,12.75,41.918
465,12.75,41.818
