antenna_id,Coordonnée_Antenne_X,Coordonnée_Antenne_Y
1,11.875,42.375
2,11.925,42.375
3,11.975,42.375
4,12.025,42.375
5,12.075,42.375
6,12.125,42.375
7,12.175,42.375
8,12.225,42.375
9,12.275,42.375
10,12.325,42.375
11,12.375,42.375
12,12.425,42.375
13,12.475,42.375
14,12.525,42.375
15,12.575,42.375
16,12.625,42.375
17,12.675,42.375
18,12.725,42.375
19,12.775,42.375
20,12.825,42.375
21,12.875,42.375
22,12.925,42.375
23,12.975,42.375
24,13.025,42.375
25,13.075,42.375
26,13.125,42.375
27,11.875,42.325
28,11.925,42.325
29,11.975,42.325
30,12.025,42.325
31,12.075,42.325
32,12.125,42.325
33,12.175,42.325
34,12.225,42.325
35,12.275,42.325
36,12.325,42.325
37,12.375,42.325
38,12.425,42.325
39,12.475,42.325
40,12.525,42.325
41,12.575,42.325
42,12.625,42.325
43,12.675,42.325
44,12.725,42.325
45,12.775,42.325
46,12.825,42.325
47,12.875,42.325
48,12.925,42.325
49,12.975,42.325
50,13.025,42.325
51,13.075,42.325
52,13.125,42.325
53,11.875,42.275
54,11.925,42.275
55,11.975,42.275
56,12.025,42.275
57,12.075,42.275
58,12.125,42.275
59,12.175,42.275
60,12.225,42.275
61,12.275,42.275
62,12.325,42.275
63,12.375,42.275
64,12.425,42.275
65,12.475,42.275
66,12.525,42.275
67,12.575,42.275
68,12.625,42.275
69,12.675,42.275
70,12.725,42.275
71,12.775,42.275
72,12.825,42.275
73,12.875,42.275
74,12.925,42.275
75,12.975,42.275
76,13.025,42.275
77,13.075,42.275
78,13.125,42.275
79,11.875,42.225
80,11.925,42.225
81,11.975,42.225
82,12.025,42.225
83,12.075,42.225
84,12.125,42.225
85,12.175,42.225
86,12.225,42.225
87,12.275,42.225
88,12.325,42.225
89,12.375,42.225
90,12.425,42.225
91,12.475,42.225
92,12.525,42.225
93,12.575,42.225
94,12.625,42.225
95,12.675,42.225
96,12.725,42.225
97,12.775,42.225
98,12.825,42.225
99,12.875,42.225
100,12.925,42.225
101,12.975,42.225
102,13.025,42.225
103,13.075,42.225
104,13.125,42.225
105,11.875,42.175
106,11.925,42.175
107,11.975,42.175
108,12.025,42.175
109,12.075,42.175
110,12.125,42.175
111,12.175,42.175
112,12.225,42.175
113,12.275,42.175
114,12.325,42.175
115,12.375,42.175
116,12.425,42.175
117,12.475,42.175
118,12.525,42.175
119,12.575,42.175
120,12.625,42.175
121,12.675,42.175
122,12.725,42.175
123,12.775,42.175
124,12.825,42.175
125,12.875,42.175
126,12.925,42.175
127,12.975,42.175
128,13.025,42.175
129,13.075,42.175
130,13.125,42.175
131,11.875,42.125
132,11.925,42.125
133,11.975,42.125
134,12.025,42.125
135,12.075,42.125
136,12.125,42.125
137,12.175,42.125
138,12.225,42.125
139,12.275,42.125
140,12.325,42.125
141,12.375,42.125
142,12.425,42.125
143,12.475,42.125
144,12.525,42.125
145,12.575,42.125
146,12.625,42.125
147,12.675,42.125
148,12.725,42.125
149,12.775,42.125
150,12.825,42.125
151,12.875,42.125
152,12.925,42.125
153,12.975,42.125
154,13.025,42.125
155,13.075,42.125
156,13.125,42.125
157,11.875,42.075
158,11.925,42.075
159,11.975,42.075
160,12.025,42.075
161,12.075,42.075
162,12.125,42.075
163,12.175,42.075
164,12.225,42.075
165,12.275,42.075
166,12.325,42.075
167,12.375,42.075
168,12.425,42.075
169,12.475,42.075
170,12.525,42.075
171,12.575,42.075
172,12.625,42.075
173,12.675,42.075
174,12.725,42.075
175,12.775,42.075
176,12.825,42.075
177,12.875,42.075
178,12.925,42.075
179,12.975,42.075
180,13.025,42.075
181,13.075,42.075
182,13.125,42.075
183,11.875,42.025
184,11.925,42.025
185,11.975,42.025
186,12.025,42.025
187,12.075,42.025
188,12.125,42.025
189,12.175,42.025
190,12.225,42.025
191,12.275,42.025
192,12.325,42.025
193,12.375,42.025
194,12.425,42.025
195,12.475,42.025
196,12.525,42.025
197,12.575,42.025
198,12.625,42.025
199,12.675,42.025
200,12.725,42.025
201,12.775,42.025
202,12.825,42.025
203,12.875,42.025
204,12.925,42.025
205,12.975,42.025
206,13.025,42.025
207,13.075,42.025
208,13.125,42.025
209,11.875,41.975
210,11.925,41.975
211,11.975,41.975
212,12.025,41.975
213,12.075,41.975
214,12.125,41.975
215,12.175,41.975
216,12.225,41.975
217,12.275,41.975
218,12.325,41.975
219,12.375,41.975
220,12.425,41.975
221,12.475,41.975
222,12.525,41.975
223,12.575,41.975
224,12.625,41.975
225,12.675,41.975
226,12.725,41.975
227,12.775,41.975
228,12.825,41.975
229,12.875,41.975
230,12.925,41.975
231,12.975,41.975
232,13.025,41.975
233,13.075,41.975
234,13.125,41.975
235,11.875,41.925
236,11.925,41.925
237,11.975,41.925
238,12.025,41.925
239,12.075,41.925
240,12.125,41.925
241,12.175,41.925
242,12.225,41.925
243,12.275,41.925
244,12.325,41.925
245,12.375,41.925
246,12.425,41.925
247,12.475,41.925
248,12.525,41.925
249,12.575,41.925
250,12.625,41.925
251,12.675,41.925
252,12.725,41.925
253,12.775,41.925
254,12.825,41.925
255,12.875,41.925
256,12.925,41.925
257,12.975,41.925
258,13.025,41.925
259,13.075,41.925
260,13.125,41.925
261,11.875,41.875
262,11.925,41.875
263,11.975,41.875
264,12.025,41.875
265,12.075,41.875
266,12.125,41.875
267,12.175,41.875
268,12.225,41.875
269,12.275,41.875
270,12.325,41.875
271,12.375,41.875
272,12.425,41.875
273,12.475,41.875
274,12.525,41.875
275,12.575,41.875
276,12.625,41.875
277,12.675,41.875
278,12.725,41.875
279,12.775,41.875
280,12.825,41.875
281,12.875,41.875
282,12.925,41.875
283,12.975,41.875
284,13.025,41.875
285,13.075,41.875
286,13.125,41.875
287,11.875,41.825
288,11.925,41.825
289,11.975,41.825
290,12.025,41.825
291,12.075,41.825
292,12.125,41.825
293,12.175,41.825
294,12.225,41.825
295,12.275,41.825
296,12.325,41.825
297,12.375,41.825
298,12.425,41.825
299,12.475,41.825
300,12.525,41.825
